instagram_comments,offensive_language,offensiveness_levels,hate_speech
Amei .,0,0,0
Outra q não vou e essa Janaína fica em cima do muro o lado q tá ganhando e q ela vai,0,0,0
Não elegemos vc para ficar atirando contra o governo,0,0,0
"Janaína Paschoal tem razão, os filhos do presidente tem que pensar pra falar, o pai está sofrendo por causa dos filhos! Põe uma trava na língua!",0,0,0
Por que você não pede consultoria pra ela te ensinar a fazer política?,0,0,0
que falou demais? verdades,0,0,0
Concordo em grau gênero e número.,0,0,0
"👏🏾👏🏾👏🏾👏🏾parabéns Janaína, Vms pedir ao Presidente para calar os filhos, e deixar Ele trabalhar,",0,0,0
É melhor um filho falando o que pensa. Do que um filho ficando rico caladinho.,0,0,0
"Vocês estão fazendo tempestade em copo de água. Vc postando isto, também está dando munição para oposição. Pensa bem 🤔",0,0,0
Por isso que Lula e Dilma não tinham familiares na política.,0,0,0
"Joice concordo com vc, o presidente fica desacreditado com os comentários dos filhos, é uma pena.",0,0,0
Palavras firmes e sensatas enquanto você concorda com ela. Depois diz que está fora da realidade. Igual com o Olavo de Carvalho.,0,0,0
Falou só a verdade,0,0,0
Última eleição votei nas duas nas próximas não votarei em nenhuma das duas taokey.,0,0,0
"Que fim político triste o seu Joice, não vou deixar de te seguir para ver o que vai dar, a cada dia vc se supera",0,0,0
O mineiro fala um dito popular muito bem aplicado aos filhos do Presidente: Quem fala demais da bom dia a cavalo!,0,0,0
"Esquece o filho do presidente um pouco Joice 🙏🏼 Faz seu trabalho de deputada, que foi pra isso que votei em vc",0,0,0
"Eu Votei em Bolsonaro e não no filho dele, Bolsonaro foi o único que deu a cara pra bater. Vi vc a um ano atrás comprando briga a qualquer custo pelo Bolsonaro. Até acho que vc ganharia a eleição mas não fácil como foi usando o nome dele. Só quero lhe perguntar uma coisa, Bolsonaro agora então não presta? Então quer dizer que daqui um ano vc pode mudar de ideia e dizer que vc estava errada de novo? Não estou entendendo o seu novo método e queria saber. Não só vc mas vários que a um ano atrás falava 10 palavras e 8 era Bolsonaro.",0,0,0
Verdade.... Infelizmente...,0,0,0
Meu Deus que perseguição é essa aos filhos do Presidente hein !!!,0,0,0
"Mentira vcs não conseguirão tirar a base do presidente que são os filhos e o povo. Bolsonaro 2022 e parabéns a família Bolsonaro. Ficamos com um patriota de 28 anos de Parlamento sem se corromper, o restante que são oportunistas faremos uma faxina na próxima eleição.",0,0,0
"Verdade, Janaína. Belo embaixador nós íamos ter",0,0,0
👏👏👏👏👏👏👏👏❤️ Sensatez! Essa é a palavra de ordem!,0,0,0
"Sabe em que acredito ? Assisti a entrevista sobre a declaração. O que me impressiona é a imprensa, que com profissionais cultos ou mal intencionados, não conseguem interpretar as palavras, basta entender a declaração e ver que ele não mencionou apenas AI 5, tente ver a entrevista e entender como se foi dito. Tudo que se diz hoje se interpreta pelo lado opositor. Não sou fã dele ,sou apenas um cidadão que quer o bem do país.",0,0,0
"Sou bolsonarista até debaixo d’água, vou votar nele novamente se for candidato à reeleição, mas os filhos do presidente precisam realmente colocar filtro na boca. Isso demonstra um pouco de imaturidade política dos mesmos. Mas vamos lá. BOLSONARO 2022 com certeza. 👍👍👍👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",0,0,0
"Achei desnecessário a fala dele, esse tipo fala so prejudica o nosso presidente. Muito cuidado no que falar",0,0,0
E vc fomenta isso tudo é deve dar risada não???🤬,0,0,0
É isso! Mas eles acham q é perseguição pessoal,0,0,0
Ela tem toda razão! Pense antes de falar! 👊,0,0,0
É bom ter inimigos por perto para entender suas estratégias e Combater de modos eficaz...,0,0,0
"Deixando de seguir, pq @joicehasselmannoficial so perde tempo implicando com os bolsonaros...3...2..1...fui!",0,0,0
Concordo,0,0,0
Absolutamente certo É dar fogo para o inimigo,0,0,0
Os filhos do Bolsanario não merece este pai,0,0,0
Js estou falando a mesma coisa👏👏,0,0,0
Eu adoro o jair mas os filhos estão sendo irresponsáveis,0,0,0
Perfeito 👍🏻,0,0,0
É verdade,0,0,0
"Exatamente , é o que acho.",0,0,0
Não acho não só enche de orgulho cada cidadão brasileiro ao ver um filho defender arduamente o seu pai.,0,0,0
Super concordo,0,0,0
Vc👎👎👎👎👎👎,0,0,0
Concordo com ela,0,0,0
"Realmente , seria mais sensato que os filhos do Presidente permanecessem calados!!! 👍",0,0,0
Isto mesmo. Esses filhos do Sr. Presidente deveriam ficar mais falados. Vão colocar tudo a perder. Uma lástima.,0,0,0
"@bolsonarosp por favor vamos evitar polêmica é tudo que a esquerda quer, combustível p provocar incêndio..🤔",0,0,0
"Para Joice, tenho certeza que você entendeu a fala dele.....",0,0,0
Ninguém quer ou não tem coragem!,0,0,0
"Exato, ele vacilou mais uma vez, errou e tá pagando o preço merecido. Mas corrgindo a Janaína, não só a oposição ou a esquerda que se aproveitam desses vacilos né Joice? Pedir cassação dele só demonstra que vc não está interessada na democracia ou no Brasil, mas em seus interesses e vingança pessoal. Vai lá, tenta a sorte.",0,0,0
Janaína até você ????,0,0,0
De pleno acordo !,0,0,0
Muito sensata!!!,0,0,0
Neste caso tb concordo!,0,0,0
"Janaína Paschoal é muito sensata👏👏👏mais @joicehasselmannoficial admiro seu trabalho e sua garra em fazer o correto, no entanto esse tomaládacá entre vc e o filho do PR tá muito feio, acredito que vc seja madura o suficiente para ignora- lo e focar na sua carreira política.",0,0,0
É verdade @joicehasselmannoficial,0,0,0
Ao contrário de vc😂 🇧🇷👉,0,0,0
Fato!,0,0,0
"Concordo plenamente! Se não temos argumentos que possam contribuir para o crescimento do país e a paz social, devemos calar-",0,0,0
Exato.,0,0,0
"Esses filhos do presidente só atrapalham, cada um tem que seguir a sua própria vida.",0,0,0
é preciso pensar 10 X antes de falar para depois ter que pedir desculpas . Certos Bolsonaros deviam aprender isso . um leão nuca pede desculpas ..,0,0,0
sei não. . .,0,0,0
Perfeita como Sempre👏👏👏,0,0,0
Janaína porque vice quer calar o filho do presidente. Não é democracia?,0,0,0
"Sou obrigado a concordar @joicehasselmannoficial e @janainacpaschoal infelizmente os filhos tem prejudicado e muito o pai, torço muito pelo governo do @jairmessiasbolsonaro pois acredito que ele pode levar o Brasil para novos rumos, mas Jair manda seus filhos calarem a boca, já virou um saco a ptzada de mimi usando as falas deles pra deturpar o bom andamento das coisas, nós agradecemos imensamente🙌🙌🙌",0,0,0
"Não concordo o que os esquerdistas falam não tem peso pessoal, comunitário muito menos Jurídico",0,0,0
Concordo!,0,0,0
Tá de sacanagem né😂😂😂,0,0,0
"Com certeza. Com tantas notícias boas para celebrar na economia, pra que criar problemas onde não tem?",0,0,0
"Só atrapalham o pai, até quando isso hein",0,0,0
"Verdade ! Apesar de concordar com a fala dele , acho não deve falar o q pensa !",0,0,0
Dessa vez concordo com vc,0,0,0
Fale o que tem certeza que vai ter resposta pautada para o bem,0,0,0
Certíssima ✋,0,0,0
Concordo!!,0,0,0
Será que o filho está fazendo isto pra prejudicar o pai,0,0,0
"Não estou falando mau do outro tenho misericórdia todas as pessoas são boas apenas não abriram os olhos da mente a de Deus. Toda guerra começa dentro de si, outro é reflexo da nossa mente. Então é preciso refletir onde está a guerra dentro de si tudo reflexo . O espelho é nosso reflexo que vemos ao olhar da mesma forma nosso interior refletir no outro somos uma energia. Se mudamos o outro muda. Não mudamos ninguém. Mas qdo mudamos tudo muda só nosso redor. Reconcilia com todas as coisa do céu é da terra qdo reconciliar com todas as coisas do céu é da terra tudo será teu amigo. Agradeça a tudo mentalmente com mini obrigado a luz manifestará.",0,0,0
@joicehasselmannoficial não vi você fazer nenhum comentário sobre a fala do @senadorhumberto pq será só a narrativa da direita vale o da esquerda não ?,0,0,0
Tá em CUBA Joice?,0,0,0
"Você tem toda razão... infelizmente, o próprio filho, o maior inimigo do pai!!!",0,0,0
Janaína tem razão...,0,0,0
Parem de seguir essa mulher. Os números de seguidores estão caindo.,0,0,0
Esses filhos vão acabar com o mandato do pai,0,0,0
Verdade! É preciso ser sábio e medir as palavras para não dar brechas aos inimigos! A vitória com sabedoria e verdade conquista uma nação!,0,0,0
"A verdade é uma só. Quem quer entender de boa Fé entenderá, mas quem não quer, não fará questão. 🇧🇷✅💚 A maldade é o caminho mais rápido para alcançar o topo do pódio, porém terá que descer, terá que colher o que plantou. Até os maus pensamentos se terá colheitas. 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 Picuinhas é o maior desastre para um político HOJE. Se falou tão bem ontem hoje, inimigo. Não confio em tal pessoa que assim faz.",0,0,0
"Acho bom é todos que colaram no Presidente durante a campanha ir trabalhar. Uma rede social tão bem acompanhada podendo ser usada para informações de real relevância, agora é só para você de fazer de vítima @joicehasselmannoficial ? Você é maior e mais inteligente do que toda essa situação mulher.😘",0,0,0
"Sei, sei! Irresponsável. Fazer o que né! Eu entendi perfeitamente o que ele quis dizer. Mas e o Humberto Costa vai ser inquirido no conselho de ética? Interessante......",0,0,0
"Joice , gosto de vc ... mas ao que parece vc saiu um pouco da rota. Siga as condutas da Janaína. Não precisa concordar com tudo. Mas suas atuações estão bem tristes",0,0,0
"Verdade , é tudo que os inimigos querem",0,0,0
Esses filhos do presidente estão acabando com a imagem dele e fortalecendo a esquerda. Difícil!,0,0,0
Isto e vetdade,0,0,0
Vocês duas são iguais,0,0,0
"Continue firme 😍Sou mais à esquerda, mas gosto da senhora. É responsável, sensata e inteligente! Autoritarismo de esquerda ou de direita é um erro, e nosso fracasso se equilibra nesses extremos... 🇧🇷",0,0,0
Tudo eles tem que tá medido deixa a justiça resolver,0,0,0
"Verdade toda vez que abre a boca, os filhos do presidente dão munição para,a esquerda ficar fortalecida em seus atos para derrubar o nosso Presidente",0,0,0
Em outros tempos vc não postaria isso...,0,0,0
"Concordo plenamente com sua fala, e o maior sábio é ficar em silêncio para evitar os inimigos.",0,0,0
E ainda mais tendo uma aliada como vc a esquerda está bem,0,0,0
E dar audiência é o que???? Ajuda???,0,0,0
"Não são Fala irresponsáveis, sao falas que o povo gostaria de dizer",0,0,0
"Parabéns Guerreira, tens meu respeito e apoio.",0,0,0
Lamentável! !!,0,0,0
vá em frente Deputada,0,0,0
Que discurso irretocável!👏👏👏👏👏👏,0,0,0
"👏👏👏👏 amei ouvir as suas palavras Benedita, vc é nota mil",0,0,0
Dr Geraldo cruz,0,0,0
Ela estava emocionada,0,0,0
@joserodrigope vê esse discurso,0,0,0
Parabéns falou tudo e muito difícil ser Negro neste País,0,0,0
Parabéns deputada Benedita.,0,0,0
É dePUTAda mesmo,0,0,0
#A luta não pode parar👏👏,0,0,0
Racistas não passarão !!!,0,0,0
Todo apoio a deputada Benedita Silva todo meu repúdio a esse Tadeu que não representa😂a nação brasileira,0,0,0
Racismo ditadura nunca mais,0,0,0
🤔🤔😮 muito bem 👏👏👏👏👏 muito bem muito bem 👏👏👏👏👏👏👏👏👏👏👏,0,0,0
Muito beeeeeeeeeeeeeeem,0,0,0
Está e a nossa deputada Benedita linda guerreira parabéns estamos juntos,0,0,0
Muito inteligente!👏👏,0,0,0
Foi um desrespeito aos policiais. Policiais são heróis. Respeitem quem luta contra o crime. Babdido negro pode? Tenha dor!,0,0,0
Respeitem aqueles que saem todos os dias de casa pra nos defender. Respeitem a policia brasileira.,0,0,0
So negros morrem no Brasil? Bandido nao escolhe cor!,0,0,0
"Parabéns deputada pela sua fala, brilhante intervenção no plenário, uma voz firme quantra o preconceito. E viva o dia da concorrência negra.",0,0,0
Parabéns Benedita pra cima deles,0,0,0
"Estou contemplado com a fala da Dep. Benedita da Silva! Simbolicamente somos açoitados todos os dias por causa do Racismo Estrutural. O Maranhão clama por justiça, contra a perda de nossos direitos. Precisamos ser maioria nos espaços de poder para fazer a Lei ser cumprida.",0,0,0
Perfeito 👏,0,0,0
Triste😢,0,0,0
Bravoooooo👏👏👏👏,0,0,0
A rocha eles pra saber ter respeito pelo o nosso povo brasileiro,0,0,0
Deus esteja contigo deputada 😢😢,0,0,0
Muito bem Benedita,0,0,0
Representa a nós,0,0,0
"Mulher como você que queremos para nós representar! Forte, guerreira e muito inteligente admiração eterna.#somosumaso",0,0,0
Que absurdo!😥,0,0,0
Se ele faz isso aí na câmera imagina nas ruas em casa.🤔😕,0,0,0
"Maravilha deputada, parabéns",0,0,0
Tem que arrumar casa🇧🇷🇧🇷🇧🇷,0,0,0
Benedita mim representando,0,0,0
"E isso dá no que? Infelizmente ninguém é punido com a indignação, fica por isso mesmo.",0,0,0
❤️❤️❤️❤️❤️❤️❤️Eu amo muito você vs Experiência com todo meu Respeito a você. Parabéns parabéns parabéns parabéns parabéns parabéns parabéns parabéns parabéns parabéns,0,0,0
Que orgulho dela❤️,0,0,0
Muito obrigada vs Experiência a senhora é a minha voz .,0,0,0
O Brasil nao podem ter racistas porque Uma naçao forte e Uma pais desenvolvido so cresce com a uniao de todos um presiza do outro,0,0,0
Muito obrigada por ter essa voz para com o povo negro desse país . Dos meus olhos saíram lágrimas .,0,0,0
Emocionante seu discurso Benedita!!!!,0,0,0
"👏👏👏👏👏👏👏👏👏👏Benedita representa mais de 54 % da população Brasileira ,eu repúdio esse Ato inaceitável nesta casa legislativa ,foi a prova de que o racismo Institucional prevalece em todas as faces da sociedade brasileira ! Vergonha! Que se faça justiça ! Obrigada Deputada !",0,0,0
"Benedita, Perfeita do Rio de Janeiro!!! @ptbrasil novo, de novo!! #LulaLivre!!!",0,0,0
#chorei Benedita!,0,0,0
Parabéns bendita👏👏👏👏👏👏🇧🇷,0,0,0
Quanta indignação! Benedita. Que grande mulher.,0,0,0
Que discurso emocionante! Parabéns Benedita 👏👏👏,0,0,0
Vc me representa deputada Benedita👏👏👏👏👏💕💕💕💕💕🇧🇷🇧🇷🇧🇷🇧🇷,0,0,0
"👏👏👏👏👏...poxa vida eu tô chorando aqui...me sinto um lixo em carregar na pele essa historicidade em saber que antepassados cometeram esse genocídio....tenho vergonha em ser branco, quando vejo um lixo desses cometer um ato de total violência e desrespeito com os verdadeiros lutadores e lutadoras desse país...o povo que construiu o Brasil de cabo a rabo levantou no braço essa estrutura que vivemos hj....jamais estarei cem por cento feliz com minha herança que até onde eu sei se restringe a falta de melanina... como eu queria que o sangue da minha bisavó que era cabocla bugra tivesse sido mais forte do que do meu bisavô...mas não posso mudar o passado me cabe então dar todo amor a minhas filhas para se espelharem nessa mulher GUERREIRA que agora tem a fala... para que jamais compactuem com qualquer ato arrogante discriminatório!!!! Máximo respeito a senhora Banedita e sua luta, que também é minha, é de tod@s que acreditam no AMOR ao invés do ódio!!!!",0,0,0
"Eita cheguei até me arrepiar, forte",0,0,0
Mulher guerreira ❤️,0,0,0
"Essa me representa apesar de eu nao ser negro, parabens é isso mesmo nao deixa esse canalha ficar impune.",0,0,0
"👏👏👏👏👏👏👏essa mulher é uma grande guerreira, que Deus te livre e te guarde dona Benedita 👏👏👏👏👏😍😍",0,0,0
Parabéns guerreira!!!,0,0,0
Muito linda a fala!!! Força a todos vocês e que esse coronel seja devidamente punido!,0,0,0
Amei sua fala Benedita💋,0,0,0
Show 👏👏❤️,0,0,0
Parabéns ... isso mesmo não pode deixar ...tem que haver um basta nessa falta de respeito para com os negros .,0,0,0
Parabéns Benedita!!❤️,0,0,0
PARABÉNS DEPUTADA,0,0,0
Benê gerrueira gigante 💕 🔥,0,0,0
Nossa ela falou tudo que nós queríamos 👏,0,0,0
Pior é que tem negros que votam nessa gente! O Brasil precisa acordar!!!,0,0,0
"Lamentável em pleno século 21 , não conseguimos combater literalmente o preconceito Racial",0,0,0
"Palavras corretas Benedita, abaixo o racismo, é preciso no dia da consciência negra temos consciência humana parabéns Benedita",0,0,0
"Tanto branco com alma negra. Todos deveríamos ser igual perante Deus , não é a cor da pele que nos faz diferentes e sim a cor da alma!!!! Ah essa Deus conhece bem!",0,0,0
Todos somos iguais.,0,0,0
Parabéns ❤️👏👏👏👏,0,0,0
Atual governo é responsável..,0,0,0
Para bens Benedita pelo proniciamento,0,0,0
Vamos lutar pelo respeito à nossa raça,0,0,0
"Deputada Benedita,me sinto representada por vc ,pela Jandira. #RACISTA NÃO PASSARÃO",0,0,0
Parabéns,0,0,0
Benedita parabéns ❤️,0,0,0
"Bené, grande desbravadora! Força, somos maioria e merecemos respeito.",0,0,0
Triste episódio às vésperas do Dia da Consciência Negra. Racistas não passarão🙌,0,0,0
"Vamos continuar assistindo muito mais,com esses novos governantes!",0,0,0
"Por anos fomos vistos internacionalmente como um povo pacifico que convivia com a diversidade brasileira.Hj vivemos o genocídio denegros,negras e indigenas....Inaceitável! Estranho,bizarro!",0,0,0
Belíssimo discurso! @instadabene @gleisihoffmann @_mariadorosario Admirável a resistência dessas mulheres. Obrigado a todas vcs!,0,0,0
Um desgaste muito grande para o congresso nacional tem que ser punido severamente.,0,0,0
Muito bem colocado👏👏👏👏👏,0,0,0
"Deputada o tapa foi na cara de todos nós que sendo pardos, brancos,índios,etc estrangeiras ou não sentimos a mesma dor,essa violência atingiu toda humanidade que tem respeito e dignidade.",0,0,0
Parabéns Deputada Benedita!,0,0,0
eu sinto a indignação,0,0,0
@instadabene sempre muito pontual.,0,0,0
"Benedita me representa, racismo é crime!",0,0,0
👏👏 👏👏 parabéns vamos fazer valer a justiça!!,0,0,0
👏👏👏👏Benedita cuide se querida .,0,0,0
Como esses que defendem conseguem explicar a morte da pequena Agata?,0,0,0
Benedita é um patrimônio da comunidade negra e do Rio... orgulho da raça...fora racistas!!!!,0,0,0
Mostro sempre Benedita falando para minhas filhas branquinhas... quero beneditas ao meu redor!!!! Fora racistas.!!!!,0,0,0
Estamos juntos! Somos Brasil! Somos de todas as cores!,0,0,0
Parabéns Benedita 💖💖💖👏👏👏👏,0,0,0
Essa mulher me representa!👏👏👏👏,0,0,0
Força deputada #beneditadasilva A senhora como negra me representa 👏,0,0,0
"Fico me perguntando o quê de grave, como perdas de garantias individuais e coletivas e à soberania, estarão ocultando os parlamentares ao repercutirem com grande ênfase nas redes Sociais a atitude racistas do coronel deputado. #PL2418não",0,0,0
Benedita você é sensacional!,0,0,0
Bravo Bene👏👏👏👏👏👏👏👏👏,0,0,0
Representou. Como sempre!,0,0,0
"Que fala! Que reflexão! Benedita, a senhora é show!",0,0,0
@instadabene Não decepciona l! Bene prefeita do rio,0,0,0
"Muito bem, Bené. 👏👏👏👏",0,0,0
Nuuu arrepiei com esse discurso!!!!! 👏👏👏👏,0,0,0
Ae @j.victors_ se liga nesse relato que aconteceu hoje...entendeu como é estar do lado amor e não ódio.,0,0,0
Tem toma providências mesmo,0,0,0
"Deputados, senadores quebram decoro, rasgam a constituição e nada acontece com vcs!",0,0,0
Estamos juntos!! ✊🏿✊🏿✊🏿,0,0,0
"Emocionante é bastante contundente a fala da Benedita da Silva. Precisamos muito falar sobre racismo. Lastimável a atitude deste coronel. Nos mostra como o racismo é sim estrutural, como a falta de respeito é brutal e como os policiais jamais deveriam ocupar cadeiras nas câmaras federal, estadias e municipal. Não tem preparo para tal cargo. Claro que não generalizo, mas o que até o momento temos assistido é a decadência desses que entraram no poder. Lastimoso termos representante do povo agindo levianamente.",0,0,0
Minha deputada do coração.,0,0,0
VIVA BENÊ!!!,0,0,0
Filha de negros sou branca por capricho da natureza. Mas faço questão de gritar. NEGRA SIM! NEGRA SOU!,0,0,0
Parabéns Benedita você me representa,0,0,0
Samos todos írmao não gosto di👏💕💟💟💟💟💟💟💟💟💟💟 racista são pessoas sem caráter quê não respeita u próximo não tem diferença do neguinho pra u branquinho,0,0,0
Parabéns deputada Benedita por lutar contra o racismo em nosso país 👏👏👏👏👏👏,0,0,0
Da lhe Benedita da silva,0,0,0
Parabéns Deputada Benedita excelente discurso e pratica.Todos contra o racismo.,0,0,0
Essa me representa 😍😘😍😘😍😘,0,0,0
Parabéns Benedita!!!!👏👏👏,0,0,0
"Quem conhece sua história Benedita da Silva, te louva, DEUS abençoe sempre Beijos te amamos, 🙏👏👏👏💋♥️",0,0,0
Parabéns minha gerreira 👏👏👏👏👏👏💟💟💟💟💕💕💕💕💕💕💕,0,0,0
Parabéns Benedita🙌😍👏👏👏,0,0,0
Benedita maravilhosa,0,0,0
"Benedita, vc me representa!",0,0,0
"@tiamaoficial precisamos do seu apoio, independente de afinidade política. Isso não pode ficar assim, precisamos divulgar este vídeo.",0,0,0
Maravilhosa ❤,0,0,0
"🌷 Mulher guerreira, te amo Benedita. 💞👏👏👏👏👏",0,0,0
Benedita como sempre!!!!! Arrebentando!!!!👏👏👏👏,0,0,0
VIVA BOLSONARO 🇧🇷🇧🇷🇧🇷🇧🇷,0,0,0
maravilhosaaa 👏👏👏👏👏,0,0,0
Muito bem Benedita! 👏👏👏👏👏👏👏👏👏👏👏,0,0,0
"👏👏👏 lamentável que ainda existam pessoas assim,pois somos todos irmãos.",0,0,0
Bravo! 👏👏,0,0,0
👏👏👏👏👏👏👏👏👏👏PARABÉNS Deputada Benedita 💪👏👏👏👏👏👏👏👏👏,0,0,0
Benedita é uma grande voz que representa o povo. Escutem essa mulher!👏🏿👏🏿👏🏿👏🏿✊🏾,0,0,0
Absurdo! Linda fala ❤️,0,0,0
Sem palavras! 😢💕,0,0,0
Benedita é uma fortaleza.,0,0,0
🤔🤔🤔 Será!?,0,0,0
"Parabéns, deputada!👏👏👏👏👏👏👏",0,0,0
Parabéns e OBRIGADO!,0,0,0
Diva!!!!👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻✊🏻✊🏻✊🏻💕,0,0,0
Parabéns Benedita pela indignação.,0,0,0
Todo arrepiado !!!!!,0,0,0
Parabéns companheira,0,0,0
"Parabéns, Benedita!",0,0,0
Tamo juntas.,0,0,0
Jesus o que tá acontecendo,0,0,0
Parabéns Deputada pela sua firmeza e colocações. 😍😍😍👏👏👏👏,0,0,0
Isso não pode mais aconter mais 😡😡😡😡,0,0,0
SOMOS TODOS NEGROS APOIO A DEPUTADA BENEDITA ❤️,0,0,0
Bene!❤️,0,0,0
Que discurso!👏👏 Sorte nossa ter vcs nos representando diante desse caos todo,0,0,0
"Benedita, você me representa!!!👏🏻👏🏻👏🏻👏🏻",0,0,0
Que discurso 🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0,0,0
Bravíssima colocação! É de aplaudir de pé! 😀✊🏾👏🏾👏🏾👏🏾👏🏾,0,0,0
Absurdo.,0,0,0
Calma gente. Ele vai pagar no mínimo com o cargo que ocupa.,0,0,0
A deputada Benedita meus parabéns pelo seu pronunciamento correto. Essa é verdadeira. 👏👏,0,0,0
É nós companheira!!,0,0,0
👏👏👏👏parabéns Benedita orgulho de sua resistência,0,0,0
"Deputada Benedita,mulher brasileira,negra,guerreira vc nos representa......",0,0,0
Benedita👏👏👏👏👏👏👏,0,0,0
Parabéns deputada a luta contra todo tipo de preconceito é válido e contante pessoas como esse deputado tem muitos travestidos de democrata e não racista e muito menos preconceituoso,0,0,0
Sem palavras muito contundente,0,0,0
"Obrigado deputada, continue defendendo nossa classe.",0,0,0
Essa me representa 👏👏👏👏👏,0,0,0
Perfeita! Seja firme e forte minha querida. Pq muitos são fracos e inertes diante de um absurdo. 👏💗,0,0,0
Parabéns Benedita👏,0,0,0
Como compartilhar,0,0,0
Salve Benedita!!!👏👏👏,0,0,0
"Parabéns ministro, vc esta do lado dos Brasil e dos brasileiros de bem 👏👏👏👏👏👏👏💙💚💛",0,0,0
Graças a Deus aleluia,0,0,0
"Parabéns, Facchini!!!",0,0,0
Parabéns Fachin.,0,0,0
Parabéns Ministro!🙏👏,0,0,0
Que maravilha!!!,0,0,0
Por favor né.,0,0,0
É bom o Fachin evitar andar de helicóptero ou avião fretado...,0,0,0
Tem que ser matida para o bem do nosso Brasil..🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0,0,0
Sensatez!👏🇧🇷,0,0,0
Lula livre,0,0,0
Até que em fim,0,0,0
Ainda bem,0,0,0
Muito bem ministro.,0,0,0
PARABÉNS MINISTRO Faquim,0,0,0
"Até que enfim ,alguém com mais ...juizo👏👏👏👏",0,0,0
Até que enfim!,0,0,0
Vamos ver o que vai dar.,0,0,0
Não tinha anulado este processo?,0,0,0
Tem dinheiro... responde em liberdade 😡 lamentável,0,0,0
Incrível,0,0,0
Ministro tu és um cidadão descente pois não se deixa levar por blandiciosos. Parabéns!!!,0,0,0
"Muitooo beeem , um juiz forte e seguro, fazendo a justiça valer a pena, parabéns.",0,0,0
Parabéns ministro Fakin👍👏👍👏👍👏,0,0,0
Viva o Ministro Fachin!👍🏻,0,0,0
MUITISSIMO BEM MINISTRO FACCHIN ! ALGUEM TEM QUE TER JUIZO NESSE STF!!!!!!!,0,0,0
Jesus Ressuscitado está no comando !,0,0,0
Esse sim representa o povo brasileiro!,0,0,0
Certíssimo,0,0,0
Parabéns Ministro,0,0,0
Isso ai poq nao fica quieto na dele,0,0,0
Certíssimo.,0,0,0
Parabéns pra ele mais um não kkkkkkkkk,0,0,0
O Lula vai ?,0,0,0
Parabéns ministro Fachin tenha coragem e seja firme nesse momento a maioria dos brasileiros está te apoiando,0,0,0
Fez muito bem,0,0,0
Pelo menos uma boa noticia!,0,0,0
Aínda existem homem de honra no STF,0,0,0
"Arre, alguém que ainda resiste aos “encantos” de Lula.",0,0,0
Mostrou-se Dr honrado &Digno.👏👏👏👏👏👏👏👏👏👏,0,0,0
Que maravilha!!! 👏🏻👏🏻👏🏻,0,0,0
É só O que falta,0,0,0
Pelamos uma notícia boa 👏👏👏,0,0,0
O engraçado é que não deve nada!!,0,0,0
Estamos de olho !,0,0,0
Parabéns ministro,0,0,0
Deus acima de tudo!!!,0,0,0
👏👏👏👏👏👏PARABÉNS FACHIM,0,0,0
👏avante meu Brasil 👏,0,0,0
Parabens Fachin.,0,0,0
"Prezada deputada Joice, apesar de todo o ataque que você já sofreu, você continua firme na sua defesa do Brasil e de apoio ao governo do PR Bolsonaro. Isso é uma prova de seu caráter, desprendimento e amor pelo país. Por tudo isso, minha admiração por você cresceu ainda mais. Tenho orgulho de ter votado em você e tenha em mente que terá sempre o meu apoio. Parabéns por tudo o que tem feito por nós.",0,0,0
A mesma história de sempre e Lula continua solto.,0,0,0
"Q Lula pensa, q é Deus?",0,0,0
Como é rápido os processos de Lula sempre!!! o q ele é mais é outros,0,0,0
Excelente,0,0,0
Ótimo ! É impossível se esconder debaixo do tapete !!!,0,0,0
Boa.,0,0,0
Parabéns,0,0,0
Pelo menos isso 👏,0,0,0
Justiça seja feita !,0,0,0
Glória a Deus 🙏👏,0,0,0
Boa,0,0,0
Valeu Fachin,0,0,0
Parabéns,0,0,0
Parabéns Excelência 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻🇧🇷🇧🇷🇧🇷,0,0,0
Muito bem! 👏👏👏👏👏👏,0,0,0
Muita ousadia deste lula,0,0,0
Parabéns ministro Facine,0,0,0
"SENSACIONAL É BEM PÔR AI MESMOOO, ELE ESTÁ PREOCUPADO PORQUÊ SERA, QUEM Ñ DEVE Ñ TEME, SIMPLES ASSIM!!!",0,0,0
Enfim alguém teve bom senso 🙏🙏🙏🙏,0,0,0
👏👏👏👏 Parabéns Ministro pela decisão sensata!!!,0,0,0
Boa Fachin,0,0,0
Gostei!!!!👏👏👏,0,0,0
parabéns!!!! O Sr. REALMENTE é um homem de caráter !!!!,0,0,0
Parabéns ministro,0,0,0
Fachin e Barroso ainda se salvam!,0,0,0
Boa!,0,0,0
até que enfim uma boa notícia!,0,0,0
É isso mesmo,0,0,0
Até que em fim né,0,0,0
