comentario,label final,normalized_text,rationales_offensive_1_normalized,rationales_offensive_2_normalized,rationales_offensive_1,links_post,rationales_offensive_2
"@danielleloana que alegria ler esse comentário de uma petista, boquiaberta. 😮😍👏",1.0,danielleloana que alegria ler esse comentário de uma petista boquiaberta,['boquiaberta'],['boquiaberta'],boquiaberta,https://www.instagram.com/p/CpSwP0Fu9Zg/,boquiaberta;
@gabrielam.portella ainda essa idiotice cor ? aff ...,1.0,gabrielam portella ainda essa idiotice cor ave maria,['idiotice'],"['idiotice', 'ave maria']",idiotice,https://www.instagram.com/p/CpSwP0Fu9Zg/,idiotice; aff;
O objetivo e fazer filhos e o povo continua analfabetos. parabéns socialistas rumo ao comunismo,1.0,o objetivo e fazer filhos e o povo continua analfabetos parabéns socialistas rumo ao comunismo,"['continua analfabetos', 'parabéns socialistas', 'rumo ao comunismo']","['analfabetos', 'comunismo']",continua analfabetos; parabéns socialistas; rumo ao comunismo,https://www.instagram.com/p/CpSwP0Fu9Zg/,analfabetos; comunismo;
"A pessoa tem que ser muito imbecil pra achar que as pessoas vão fazer filho de propósito pra ganhar mais 150,00! Meu Deus! 🤦🏾‍♀️",1.0,a pessoa tem que ser muito imbecil pra achar que as pessoas vão fazer filho de propósito pra ganhar mais 150 00 meu deus,['a pessoa tem que ser muito imbecil'],['imbecil'],A pessoa tem que ser muito imbecil,https://www.instagram.com/p/CpSwP0Fu9Zg/,imbecil;
Eu espero que vc esteja falando dos ignorantes que elegeram o animal de quatro patas que está em Miami. Foram 4 anos de sofrimento sim...,1.0,eu espero que você esteja falando dos ignorantes que elegeram o animal de quatro patas que está em miami foram 4 anos de sofrimento sim,"['ignorantes', 'animal de quatro patas', 'anos de sofrimento']","['ignorantes', 'o animal de quatro patas']",ignorantes; animal de quatro patas; anos de sofrimento,https://www.instagram.com/p/CpSwP0Fu9Zg/, ignorantes; o animal de quatro patas; 
@jearlisss para de falar bobagem,1.0,jearlisss para de falar bobagem,['para de falar bobagem'],['falar bobagem'],para de falar bobagem,https://www.instagram.com/p/CpSwP0Fu9Zg/,falar bobagem; 
@joaotorresrodrigues vc é um animal.,1.0,joaotorresrodrigues você é um animal,['você é um animal'],['você é um animal'],vc é um animal,https://www.instagram.com/p/CpSwP0Fu9Zg/, vc é um animal; 
@miriammoreira182 quanta ignorância a sua. 🤦🏽‍♂️,1.0,miriammoreira182 quanta ignorância a sua,['quanta ignorância'],['ignorância'],quanta ignorância,https://www.instagram.com/p/CpSwP0Fu9Zg/,ignorância; 
@fabiomagnoo vc não fez conta nenhuma disso kk só repete DISCURSO de opressor,1.0,fabiomagnoo você não fez conta nenhuma disso kk só repete discurso de opressor,['discurso de opressor'],['discurso de opressor'],DISCURSO de opressor,https://www.instagram.com/p/CpSwP0Fu9Zg/,DISCURSO de opressor; 
Dá mesma laia 😂😂😂,1.0,dá mesma laia,['dá mesma laia'],['dá mesma laia'],Dá mesma laia,https://www.instagram.com/p/C3v9JGyvsjD/,Dá mesma laia; 
Dois zero a esquerda.,1.0,dois zero a esquerda,['dois zero a esquerda'],['dois zero a esquerda'],Dois zero a esquerda,https://www.instagram.com/p/C3v9JGyvsjD/,Dois zero a esquerda; 
BOZOLOIDES PIRAM ...LULA ATE 2030🔥🔥🔥🔥🇧🇷🇧🇷🇧🇷,1.0,coloides piram lula ate 2030 🇷,['coloides piram'],['coloides piram'],BOZOLOIDES PIRAM,https://www.instagram.com/p/C3v9JGyvsjD/,BOZOLOIDES PIRAM; 
"@mariade4537lourdes pessoal, deixa a esquerdofrenica aqui, com os 40 seguidores...😂😂😂 ajuda a dar engajamento e a crescer as páginas de direita!!!😂😂😂",1.0,mariade4537lourdes pessoal deixa a esquerdofrenica aqui com os 40 seguidores ajuda a dar engajamento e a crescer as páginas de direita,['esquerdofrenica'],['esquerdofrenica'],esquerdofrenica,https://www.instagram.com/p/C3v9JGyvsjD/,esquerdofrenica; 
"EDUARDO UM BOM CANDIDATO A PRESIDENCIA DO BRASIL,MAS ESSE SISTEMA CORRUPTO BRAZUELANO NAO VAO ACEITAR. 😮",1.0,eduardo um bom candidato a presidência do brasil mas esse sistema corrupto brazuelano não vão aceitar,['sistema corrupto brazuelano'],['sistema corrupto brazuelano'],SISTEMA CORRUPTO BRAZUELANO,https://www.instagram.com/p/C3v9JGyvsjD/,SISTEMA CORRUPTO BRAZUELANO; 
A papuda tá esperando teu pai,1.0,a papuda está esperando teu pai,['a papuda está esperando teu pai'],['a papuda está esperando teu pai'],A papuda tá esperando teu pai,https://www.instagram.com/p/C3L9ag3OpuG/,A papuda tá esperando teu pai; 
O menino de vó vai deixar vovó na papuda bozo na cadeia,1.0,o menino de vó vai deixar vovó na papuda bozó na cadeia,"['vovó na papuda', 'bozó na cadeia']",['bozó na cadeia'],vovó na papuda; bozo na cadeia,https://www.instagram.com/p/C3L9ag3OpuG/,bozo na cadeia; 
"LULULU é um profano sem onra ,e quer TRANFORMAR o Brasil em uma pocilga do comunismo para roubar o país inteiro, .",1.0,ululou é um profano sem honra e quer transformar o brasil em uma pocilga do comunismo para roubar o país inteiro,"['profano', 'sem honra', 'pocilga do comunismo', 'roubar o país inteiro']","['profano', 'sem honra', 'pocilga do comunismo']",profano; sem onra; pocilga do comunismo; roubar o país inteiro,https://www.instagram.com/p/C3L9ag3OpuG/,profano; sem honra; pocilga do comunismo; 
Cadeia agora pra o anticristo,1.0,cadeia agora pra o anticristo,"['cadeia agora', 'anticristo']","['cadeia agora', 'anticristo']",Cadeia agora; anticristo,https://www.instagram.com/p/C3L9ag3OpuG/,Cadeia agora; anticristo; 
Cala boca seu energumeno,1.0,cala boca seu estrume,"['cala boca', 'estrume']","['cala boca', 'estrume']",Cala boca; energumeno,https://www.instagram.com/p/C3L9ag3OpuG/,Cala boca; energumeno; 
"Minoria??? Kkkkk VOCES PERDERAM A ELEICAO SEU ANIMAL, MINORIA SAO VOCES KKKKK😂😂😂",1.0,minoria kkk vocês perderam a eleição seu animal minoria são vocês kkk,['seu animal'],['seu animal'],SEU ANIMAL,https://www.instagram.com/p/C3L9ag3OpuG/,SEU ANIMAL; 
Quem és esse que vos fala na fila do pão!!! Cadeia nessa gente.,1.0,quem és esse que vos fala na fila do pão cadeia nessa gente,"['quem és esse que vos fala na fila do pão', 'cadeia nessa gente']","['quem és esse que vos fala na fila do pão', 'cadeia nessa gente']",Quem és esse que vos fala na fila do pão; Cadeia nessa gente,https://www.instagram.com/p/C3L9ag3OpuG/,Quem és esse que vos fala na fila do pão; Cadeia nessa gente; 
@paulodaniel1975 hehehe...bom msm é ver gado bravo sem argumentos pra defender genocida😂,1.0,paulodaniel1975 hehehe bom mesmo é ver gado bravo sem argumentos pra defender genocida,"['gado bravo', 'sem argumentos', 'genocida']","['gado', 'genocida']",gado bravo; sem argumentos; genocida,https://www.instagram.com/p/C3L9ag3OpuG/,gado; genocida; 
Dudu falando de escrúpulos!,1.0,dudu falando de escrúpulos,['escrúpulos'],['escrúpulos'],escrúpulos,https://www.instagram.com/p/C3L9ag3OpuG/,escrúpulos; 
Conta a mesma mentira todo dia até que ela se torne verdade,1.0,conta a mesma mentira todo dia até que ela se torne verdade,['mentira'],['mentira'],mentira,https://www.instagram.com/p/C5OEkFkMG5J/,mentira; 
"Kkkkk tem que rir, autoritários falando em democracia",1.0,kkk tem que rir autoritários falando em democracia,"['tem que rir', 'autoritários falando em democracia']",['tem que rir'],tem que rir; autoritários falando em democracia,https://www.instagram.com/p/C5OEkFkMG5J/,tem que rir; 
"@paixao_fortes uma sociedade sem estado é um puteiro em guerra civil onde nada tem gestão, governança e nem controle. É por isso que o comunismo é totalmente inviável e só funcionava na cabeça do Marx! É por isso que nenhum Estado socialista alcança a máxima do comunismo, é por isso que nenhum Estado comunista é realmente implantado em sua totalidade!",1.0,paixaofortes uma sociedade sem estado é um circo em guerra civil onde nada tem gestão governança e nem controle é por isso que o comunismo é totalmente inviável e só funcionava na cabeça do marx é por isso que nenhum estado socialista alcança a máxima do comunismo é por isso que nenhum estado comunista é realmente implantado em sua totalidade,"['uma sociedade sem estado é um circo em guerra civil onde nada tem gestão governança e nem controle', 'o comunismo é totalmente inviável e só funcionava na cabeça do marx']","['circo', 'comunismo', 'estado comunista']","uma sociedade sem estado é um puteiro em guerra civil onde nada tem gestão, governança e nem controle; o comunismo é totalmente inviável e só funcionava na cabeça do Marx",https://www.instagram.com/p/C5OEkFkMG5J/,puteiro; comunismo; Estado comunista; 
"@paixao_fortes Amigo, não conversarei sobre sistemas de governo com você, sua ignorancia sobre o tema é tão grotesca, tão absurda, tão estapafúrdia, que chega ser bizarra! Não vou perder tempo com pessoas que deixam os fatos incontestáveis da história de lado, para tentar reescreve-los de acordo com seus achismos e hipótese tiradas do cool. No seu caso, livros de história não resolvem mais, talvez uma clínica de reabilitação.",1.0,paixaofortes amigo não conversarei sobre sistemas de governo com você sua ignorância sobre o tema é tão grotesca tão absurda tão estapafúrdia que chega ser bizarra não vou perder tempo com pessoas que deixam os fatos incontestáveis da história de lado para tentar reescrevelos de acordo com seus conceitos e hipótese tiradas do cool no seu caso livros de história não resolvem mais talvez uma clínica de reabilitação,"['ignorância', 'tão grotesca', 'tão absurda', 'tão estapafúrdia', 'bizarra', 'conceitos e hipótese tiradas do cool', 'talvez uma clínica de reabilitação']","['tão grotesca', 'tão absurda', 'tão estapafúrdia', 'bizarra', 'conceitos e hipótese tiradas do cool']",ignorancia; tão grotesca; tão absurda; tão estapafúrdia; bizarra; achismos e hipótese tiradas do cool; talvez uma clínica de reabilitação,https://www.instagram.com/p/C5OEkFkMG5J/,tão grotesca; tão absurda; tão estapafúrdia; bizarra; achismos e hipótese tiradas do cool; 
Ñ ganha nem pra porteira de puteiro,1.0,não ganha nem pra porteira de circo,['não ganha nem pra porteira de circo'],['não ganha nem pra porteira de circo'],Ñ ganha nem pra porteira de puteiro,https://www.instagram.com/p/C3aUy5cOWw_,Ñ ganha nem pra porteira de puteiro; 
"Deveria procurar um trabalho, ao inves de encher a paciência dos outros",1.0,deveria procurar um trabalho ao invés de encher a paciência dos outros,"['deveria procurar um trabalho', 'encher a paciência']","['deveria procurar um trabalho', 'encher a paciência dos outros']",Deveria procurar um trabalho; encher a paciência,https://www.instagram.com/p/C3aUy5cOWw_,Deveria procurar um trabalho; encher a paciência dos outros; 
E vai passar vergonha novamente toc toc toc,1.0,e vai passar vergonha novamente toca toca toca,['passar vergonha'],['passar vergonha'],passar vergonha,https://www.instagram.com/p/C3aUy5cOWw_,passar vergonha; 
Vai continuar fazendo burrice,1.0,vai continuar fazendo burrice,['burrice'],['burrice'],burrice,https://www.instagram.com/p/C3aUy5cOWw_,burrice; 
Não ganha nem para presidente de bairro.,1.0,não ganha nem para presidente de bairro,['não ganha nem para presidente de bairro'],['não ganha nem para presidente de bairro'],Não ganha nem para presidente de bairro,https://www.instagram.com/p/C3aUy5cOWw_,Não ganha nem para presidente de bairro; 
Que partido vai gastar cartucho com uma pessoa que não ganha nem pra porteira de clube.,1.0,que partido vai gastar cartucho com uma pessoa que não ganha nem pra porteira de clube,"['gastar cartucho', 'não ganha nem pra porteira de clube']",['gastar cartucho'],gastar cartucho; não ganha nem pra porteira de clube,https://www.instagram.com/p/C3aUy5cOWw_,gastar cartucho; 
😂😂😂😂😂😂😂😂😂😂😂 vai ganhar para porteira de cabaré 😂😂😂😂,1.0,vai ganhar para porteira de cabaré,['porteira de cabaré'],['porteira de cabaré'],porteira de cabaré,https://www.instagram.com/p/C3aUy5cOWw_,porteira de cabaré; 
Não acredito que ainda vai ter quem vote na Pepa!,1.0,não acredito que ainda vai ter quem vote na cepa,['cepa'],['cepa'],Pepa,https://www.instagram.com/p/C3aUy5cOWw_,Pepa; 
O negócio seu agora é mostrar a bunda kkkkkk é a única coisa que vai te dar dinheiro e fazer programas kkkkk,1.0,o negócio seu agora é mostrar a bunda kkk é a única coisa que vai te dar dinheiro e fazer programas kkk,"['mostrar a bunda', 'a única coisa que vai te dar dinheiro', 'fazer programas']","['mostrar a bunda', 'fazer programas']",mostrar a bunda; a única coisa que vai te dar dinheiro; fazer programas,https://www.instagram.com/p/C3aUy5cOWw_,mostrar a bunda;  fazer programas; 
Precisa fazer novas harmonizações. Estas ficaram mais falsas ainda...,1.0,precisa fazer novas harmonizações estas ficaram mais falsas ainda,"['precisa fazer novas harmonizações', 'falsas']",['falsas'],Precisa fazer novas harmonizações; falsas,https://www.instagram.com/p/C3aUy5cOWw_,falsas; 
@steffan_monteiro chora bb ridículo,1.0,steffanmonteiro chora bebê ridículo,"['chora bebê', 'ridículo']","['chora bebê', 'ridículo']",chora bb; ridículo,https://www.instagram.com/p/C3aUy5cOWw_,chora bb; ridículo; 
"Brigou com a direita e não tem confiança da esquerda.. Quem sabe não é uma oportunidade para os brasileiros de bom senso, que não sejam alienados se unirem e mudar um pouco essa bosta que o Brasil se tornou..",1.0,brigou com a direita e não tem confiança da esquerda quem sabe não é uma oportunidade para os brasileiros de bom senso que não sejam alienados se unirem e mudar um pouco essa bosta que o brasil se tornou,"['alienados', 'essa bosta']","['alienados', 'essa bosta']",alienados; essa bosta,https://www.instagram.com/p/C3aUy5cOWw_,alienados; essa bosta;
"Mais esquerdista, é melhor não, porque estamos querendo nos livrar desse câncer!",1.0,mais esquerdista é melhor não porque estamos querendo nos livrar desse câncer,['nos livrar desse câncer'],['desse câncer'],nos livrar desse câncer,https://www.instagram.com/p/C3aUy5cOWw_,desse câncer; 
Mais fake que nota de 3 reais🤦🏻‍♂️,1.0,mais fake que nota de 3 reais,['mais fake que nota de 3 reais'],['mais fake que nota de 3 reais'],Mais fake que nota de 3 reais,https://www.instagram.com/p/C5ZV9mMucGn,Mais fake que nota de 3 reais;
@joicehasselmannoficial conta pra gente como é ter 90% dos comentários do seus vídeos metendo o pau em ti ???? Kkkkk,1.0,joicehasselmannofici del conta pra gente como é ter 90 dos comentários do seus vídeos metendo o pau em ti kkk,['metendo o pau em ti'],['metendo o pau em ti'],metendo o pau em ti,https://www.instagram.com/p/C5ZV9mMucGn,metendo o pau em ti;
Sei fora boneca do chuck,1.0,sei fora boneca do chuck,['sei fora boneca do chuck'],['boneca do chuck'],Sei fora boneca do chuck,https://www.instagram.com/p/C5ZV9mMucGn,boneca do chuck; 
Sua posição politica é de quatro,1.0,sua posição politica é de quatro,['sua posição politica é de quatro'],['sua posição politica é de quatro'],Sua posição politica é de quatro,https://www.instagram.com/p/C5ZV9mMucGn,Sua posição politica é de quatro; 
"A periguete de volta !! Não adianta a recauchutada , conhecemos sua índole!!! Não será eleita para nada !",1.0,a periguete de volta não adianta a recauchutada conhecemos sua índole não será eleita para nada,"['periguete', 'recauchutada', 'conhecemos sua índole', 'não será eleita para nada']","['periguete', 'recauchutada', 'conhecemos sua índole']",periguete; recauchutada; conhecemos sua índole; Não será eleita para nada,https://www.instagram.com/p/C5ZV9mMucGn,periguete; recauchutada; conhecemos sua índole;
Se elegeu as custas do bolsonaro. E aí quem te espancou mesmo ?,1.0,se elegeu as custas do bolsonaro e aí quem te espancou mesmo,"['se elegeu as custas do bolsonaro', 'espancou']","['as custas', 'espancou']",Se elegeu as custas do bolsonaro; espancou,https://www.instagram.com/p/C5ZV9mMucGn,as custas; espancou; 
@joell2553 seu cu cheio de verme kkkkkkkkkkk,1.0,joell2553 seu cu cheio de verme kkk,['seu cu cheio de verme'],['seu cu cheio de verme'],seu cu cheio de verme,https://www.instagram.com/p/C5ZV9mMucGn,seu cu cheio de verme;
@joell2553 porra velho a sua tá dando pra outro e trocando sua geriátrica 😂😂😂😂,1.0,joell2553 porra velho a sua está dando pra outro e trocando sua geriátrica,"['porra', 'velho', 'a sua está dando pra outro', 'trocando sua geriátrica']","['porra', 'velho', 'a sua está dando pra outro', 'trocando sua geriátrica']",porra; velho; a sua tá dando pra outro; trocando sua geriátrica,https://www.instagram.com/p/C5ZV9mMucGn,porra; velho; a sua tá dando pra outro; trocando sua geriátrica;
"Seus ideais são fofoca, emagrecimento, depilação, botox. O resto é só merda que brota na sua cabeça...",1.0,seus ideais são fofoca emagrecimento depilação boto o resto é só merda que brota na sua cabeça,"['seus ideais são fofoca emagrecimento depilação boto', 'o resto é só merda que brota na sua cabeça']",['só merda'],"Seus ideais são fofoca, emagrecimento, depilação, botox; O resto é só merda que brota na sua cabeça",https://www.instagram.com/p/C5ZV9mMucGn,só merda; 
Direita ratazana ??? ,1.0,direita ratazana,['direita ratazana'],['ratazana'],Direita ratazana,https://www.instagram.com/p/C5ZV9mMucGn,ratazana; 
"Se jogar umas carteiras de trabalho perto do bando, foge todo mundo. Conversa fiada com o dinheiro do contribuinte.",1.0,se jogar umas carteiras de trabalho perto do bando foge todo mundo conversa fiada com o dinheiro do contribuinte,"['se jogar umas carteiras de trabalho perto do bando foge todo mundo', 'conversa fiada com o dinheiro do contribuinte']","['se jogar umas carteiras de trabalho perto do bando foge todo mundo', 'conversa fiada']","Se jogar umas carteiras de trabalho perto do bando, foge todo mundo; Conversa fiada com o dinheiro do contribuinte",https://www.instagram.com/p/C4-lEANRpai/,"Se jogar umas carteiras de trabalho perto do bando, foge todo mundo; conversa fiada; "
"@relca_59 você é fraquejada, não se encaixa como mulher",1.0,relca59 você é fraquejado não se encaixa como mulher,"['você é fraquejado', 'não se encaixa como mulher']","['você é fraquejado', 'não se encaixa como mulher']",você é fraquejada; não se encaixa como mulher,https://www.instagram.com/p/C4-lEANRpai/,você é fraquejada; não se encaixa como mulher; 
@anselmo9788. Choraaaaaaa coleguinha. Teu presidente so venderia cachaça barata pros oi pinguços dele e olhe lá. Vocês vivem de bolsa família.Diferente da Direita que tem dinheiro pra comprar.,1.0,anselmo9788 chora coleguinha teu presidente so venderia cachaça barata pros oi pinguços dele e olhe lá vocês vivem de bolsa família diferente da direita que tem dinheiro pra comprar,"['chora coleguinha', 'pinguços', 'vocês vivem de bolsa família', 'diferente da direita que tem dinheiro pra comprar']","['chora coleguinha', 'pinguços', 'vocês vivem de bolsa família', 'cachaça barata', 'que tem dinheiro pra comprar']",Choraaaaaaa coleguinha; pinguços; Vocês vivem de bolsa família; Diferente da Direita que tem dinheiro pra comprar,https://www.instagram.com/p/C45laynLYdV/,Choraaaaaaa coleguinha; pinguços; Vocês vivem de bolsa família; cachaça barata; que tem dinheiro pra comprar; 
@lindegomes família PT tá bem perto desse partido das trevas acabar,1.0,lindegomes família parte está bem perto desse partido das trevas acabar,['família parte está bem perto desse partido das trevas acabar'],['partido das trevas'],família PT tá bem perto desse partido das trevas acabar,https://www.instagram.com/p/C45laynLYdV/,partido das trevas; 
Que vergonha esse analfabeto.,1.0,que vergonha esse analfabeto,['que vergonha esse analfabeto'],"['que vergonha', 'esse analfabeto']",Que vergonha esse analfabeto,https://www.instagram.com/p/C4wHsBWvHP1/,Que vergonha; esse analfabeto; 
"Lula não trabalha, só viaja, gasta o dinheiro do povo , aumentou os impostos,dorme e acorda pensando em Bolsonaro , tá precisando né de um psiquiatra, se ele não espirrar da presidência ,vai tirar os quatro anos só perseguindo Bolsonaro 😂😂🇧🇷🇧🇷",1.0,lula não trabalha só viaja gasta o dinheiro do povo aumentou os impostos dorme e acorda pensando em bolsonaro está precisando não é de um psiquiatra se ele não espirrar da presidência vai tirar os quatro anos só perseguindo bolsonaro,"['lula não trabalha só viaja gasta o dinheiro do povo', 'dorme e acorda pensando em bolsonaro', 'está precisando não é de um psiquiatra', 'quatro anos só perseguindo bolsonaro']","['não trabalha', 'perseguindo', 'está precisando não é de um psiquiatra']","Lula não trabalha, só viaja, gasta o dinheiro do povo; dorme e acorda pensando em Bolsonaro; tá precisando né de um psiquiatra; quatro anos só perseguindo Bolsonaro",https://www.instagram.com/p/C4wHsBWvHP1/,não trabalha; perseguindo; tá precisando né de um psiquiatra; 
👏👏👏👏👏👏👏👏LULADRÃO seu lugar é na prisão junto com xandao,1.0,ladrão seu lugar é na prisão junto com danton,['luladrão seu lugar é na prisão'],['luladrão'],LULADRÃO seu lugar é na prisão,https://www.instagram.com/p/C4wHsBWvHP1/,LULADRÃO; 
@kareylorena foi pow tá procurando no seu toba cheio de mortadela estragada,1.0,kareylorena foi pô está procurando no seu rabo cheio de mortadela estragada,['está procurando no seu rabo cheio de mortadela estragada'],"['seu rabo', 'cheio de mortadela estragada']",tá procurando no seu toba cheio de mortadela estragada,https://www.instagram.com/p/C4DSASyLxeO/,seu toba; cheio de mortadela estragada; 
"@bolsonarosp bozzo vermme, CADEIA NELE já",1.0,bolsonarosp bonzão verme cadeia nele já,['bonzão verme cadeia nele já'],"['bonzão verme', 'cadeia nele já']","bozzo vermme, CADEIA NELE já",https://www.instagram.com/p/C4DSASyLxeO/,bozzo vermme; CADEIA NELE já; 
@kareylorena se ele trouxer é presente!!! Ja teu presidente rouba ate canetas!!!!,1.0,kareylorena se ele trouxer é presente já teu presidente rouba ate canetas,['só criminoso na foto'],['rouba ate canetas'],Só criminoso na foto,https://www.instagram.com/p/C4DSASyLxeO/,rouba ate canetas; 
@joaocarlloos__ Bostonaro era uma merda tbm 🐂,1.0,joaocarlloos torturador era uma merda também,['torturador era uma merda também'],"['torturador', 'merda']",Bostonaro era uma merda tbm,https://www.instagram.com/p/Cyl2yBqxhOV/,Bostonaro; merda; 
Só criminoso na foto,1.0,só criminoso na foto,['só criminoso'],['criminoso'],Só criminoso,https://www.instagram.com/p/Cyl2yBqxhOV/,criminoso; 
ESSE GOVERNO É O PIOR DE TODOS !!!! VOCÊ E SUA TURMA NÃO MERECEM ESTAR AI! VOCÊ É PODRE,1.0,esse governo é o pior de todos você e sua turma não merecem estar ai você é podre,"['pior de todos', 'não merecem estar ai', 'você é podre']","['pior', 'não merece', 'podre']",PIOR DE TODOS; NÃO MERECEM ESTAR AI; VOCÊ É PODRE,https://www.instagram.com/p/Cyl2yBqxhOV/,PIOR; NÃO MERECE; PODRE; 
SEU FILHO DA DESGRAÇA,1.0,seu filho da desgraça,['seu filho da desgraça'],['seu filho da desgraça'],SEU FILHO DA DESGRAÇA,https://www.instagram.com/p/Cyl2yBqxhOV/,SEU FILHO DA DESGRAÇA
Um verdadeiro piLantra,1.0,um verdadeiro pilantra,['pilantra'],['pilantra'],piLantra,https://www.instagram.com/p/Cyl2yBqxhOV/,piLantra; 
@mauricioysilva parabéns ? Ahh mano vai se fuder vai,1.0,mauricioysilva parabéns ah mano vai se foder vai,['vai se foder'],['vai se foder'],vai se fuder,https://www.instagram.com/p/Cyl2yBqxhOV/,vai se fuder; 
"Taxador de pobre, faz isso mesmo, a esquerda entregando o Brasil de mão beijada nas próximas eleições porque vcs querem agradar o veio da Havan, parabéns, traidor",1.0,taxador de pobre faz isso mesmo a esquerda entregando o brasil de mão beijada nas próximas eleições porque vocês querem agradar o veio da havan parabéns traidor,"['taxador de pobre', 'a esquerda entregando o brasil de mão beijada', 'querem agradar o veio da havan', 'traidor']","['taxador de pobre', 'mão beijada', 'traidor']",Taxador de pobre; a esquerda entregando o Brasil de mão beijada; querem agradar o veio da Havan; traidor,https://www.instagram.com/p/Cyl2yBqxhOV/,Taxador de pobre; mão beijada; traidor; 
Encantador de bürros. Isso que você é. Não passa de um verdadeiro fïlho de püta,1.0,encantador de barros isso que você é não passa de um verdadeiro falho de pata,"['encantador de barros', 'não passa de um verdadeiro falho de pata']","['encantador de burros', 'falho de pata']",Encantador de bürros; Não passa de um verdadeiro fïlho de püta,https://www.instagram.com/p/CxnmwKdLEno/,Encantador de burros; fïlho de püta; 
@mariaines0803 só se for dentro da sua bunda.,1.0,mariaines0803 só se for dentro da sua bunda,['só se for dentro da sua bunda'],['só se for dentro da sua bunda'],só se for dentro da sua bunda,https://www.instagram.com/p/CxnmwKdLEno/,só se for dentro da sua bunda; 
O nível agora é outro! Negócios para o desenvolvimento do país e não mais viagens internacionais em aviões com cocaína ou usurpação de jóias por uma familicia,1.0,o nível agora é outro negócios para o desenvolvimento do país e não mais viagens internacionais em aviões com cocaína ou usurpação de joias por uma familiais,"['aviões com cocaína', 'usurpação de joias', 'familiais']","['aviões com cocaína', 'usurpação de joias', 'familiais']",aviões com cocaína; usurpação de jóias; familicia,https://www.instagram.com/p/CxnmwKdLEno/,aviões com cocaína; usurpação de jóias; familicia; 
"Você é o lulinha ficaram no vácuo, não vem com mentiras não",1.0,você é o lulinha ficaram no vácuo não vem com mentiras não,"['ficaram no vácuo', 'não vem com mentiras não']","['ficaram no vácuo', 'mentiras']",ficaram no vácuo; não vem com mentiras não,https://www.instagram.com/p/CxnmwKdLEno/,ficaram no vácuo; mentiras; 
Muito cuidado com EU !!! 🔥 O diabo vem do norte...,1.0,muito cuidado com eu o diabo vem do norte,"['muito cuidado com eu', 'o diabo vem do norte']",['o diabo vem do norte'],Muito cuidado com EU; O diabo vem do norte,https://www.instagram.com/p/CxnmwKdLEno/,O diabo vem do norte; 
@crisflorais orgulho de levar no rabicó ne,1.0,crisflorais orgulho de levar no rabicó né,['orgulho de levar no rabicó né'],['levar no rabicó'],orgulho de levar no rabicó ne,https://www.instagram.com/p/Ct1XjosLklB,levar no rabicó;
Desgraça de Desgovernooo,1.0,desgraça de desgovernado,['desgraça de desgovernado'],"['desgraça', 'desgovernado']",Desgraça de Desgovernooo,https://www.instagram.com/p/Ct1XjosLklB,Desgraça; Desgovernooo; 
Deixando os pobre cada vez mais pobre. É bem como o Lula falou mesmo pobre é só número. TUDO BURRROOOO,1.0,deixando os pobre cada vez mais pobre é bem como o lula falou mesmo pobre é só número tudo diabrete,"['deixando os pobre cada vez mais pobre', 'pobre é só número', 'tudo diabrete']",['tudo diabrete'],Deixando os pobre cada vez mais pobre; pobre é só número; TUDO BURRROOOO,https://www.instagram.com/p/Ct1XjosLklB,TUDO BURRROOOO; 
Esses gados aqui tudo cego,1.0,esses gados aqui tudo cego,['esses gados aqui tudo cego'],"['esses gados', 'tudo cego']",Esses gados aqui tudo cego,https://www.instagram.com/p/Ct1XjosLklB,Esses gados; tudo cego;
Cegos do caralhooo,1.0,cegos do caralho,['cegos do caralho'],['cegos do caralho'],Cegos do caralhooo,https://www.instagram.com/p/Ct1XjosLklB,Cegos do caralhooo; 
Povo burro,1.0,povo burro,['povo burro'],['povo burro'],Povo burro,https://www.instagram.com/p/Ct1XjosLklB,Povo burro; 
Pq vc n se mata logo,1.0,porque você não se mata logo,['porque você não se mata logo'],['porque você não se mata logo'],Pq vc n se mata logo,https://www.instagram.com/p/Ct1XjosLklB,Pq vc n se mata logo; 
"@narraativo sim, dando o Cu pra China e Russia e chupando a ROLA da Argentina. Pior é ver gente falando isso usando rede social dos EUA. Burrice petista não tem limite.",1.0,narraativo sim dando o cu pra china e rússia e chupando a rola da argentina pior é ver gente falando isso usando rede social dos eua burrice petista não tem limite,"['dando o cu pra china e rússia', 'chupando a rola da argentina', 'burrice petista não tem limite']","['dando o cu', 'chupando a rola', 'burrice']",dando o Cu pra China e Russia; chupando a ROLA da Argentina; Burrice petista não tem limite,https://www.instagram.com/p/Ct1XjosLklB,dando o Cu;  chupando a ROLA; Burrice; 
@elisangeladejesuss_ vendendo nosso rabo pra China? Hahahaha. Petista é tudo iludido.,1.0,elisangeladejesuss vendendo nosso rabo pra china hahahaha petista é tudo iludido,"['vendendo nosso rabo pra china', 'petista é tudo iludido']","['deus nos livre', 'praga']",vendendo nosso rabo pra China?; Petista é tudo iludido,https://www.instagram.com/p/Ct1XjosLklB,Deus nos livre; praga; 
Que Deus nos livra dessa praga 😢,1.0,que deus nos livra dessa praga,['que deus nos livra dessa praga'],"['vendendo nosso rabo', 'iludido']",Que Deus nos livra dessa praga,https://www.instagram.com/p/C5RG9JWovk7/,vendendo nosso rabo; iludido; 
